Destination,Nearby_Places,Recommended_Days,Estimated_Cost_INR,Type,State
Chennai,"Marina Beach, Fort St. George",2,4000–7000,"Coastal, Cultural",Tamil Nadu
Madurai,"Meenakshi Temple, Thirumalai Nayak Palace",2,3000–6000,"Religious, Historical",Tamil Nadu
Ooty,"Botanical Garden, Doddabetta Peak",2–3,5000–9000,Hill Station,Tamil Nadu
Kodaikanal,"Coaker's Walk, Bryant Park",2–3,6000–9000,Hill Station,Tamil Nadu
Rameswaram,"Ramanathaswamy Temple, Pamban Bridge",2,4000–7000,"Religious, Coastal",Tamil Nadu
Thanjavur,"Brihadeeswara Temple, Saraswathi Mahal",2,3500–6000,"Cultural, Historical",Tamil Nadu
Kanchipuram,"Kamakshi Temple, Ekambareswarar Temple",1–2,3000–5000,Religious,Tamil Nadu
Tiruchirappalli,"Rockfort Temple, Srirangam",2,3000–5000,"Religious, Historical",Tamil Nadu
Yelagiri,"Nature Park, Jalagamparai Falls",2,4000–6000,"Hill Station, Adventure",Tamil Nadu
Chidambaram,Nataraja Temple,1,3000–5000,"Religious, Cultural",Tamil Nadu
Coimbatore,"Marudhamalai Temple, Isha Foundation",2,4000–7000,"Spiritual, Urban",Tamil Nadu
Hogenakkal,Hogenakkal Falls,1,3000–5000,"Nature, Waterfall",Tamil Nadu
Nagapattinam,Velankanni Church,1–2,3000–5000,"Religious, Coastal",Tamil Nadu
Theni,"Meghamalai, Suruli Falls",2,4000–7000,"Hill Station, Nature",Tamil Nadu
Vellore,"Vellore Fort, Golden Temple",1–2,3500–6000,"Historical, Religious",Tamil Nadu
Tiruvannamalai,Arunachaleswarar Temple,1–2,3000–5000,Spiritual,Tamil Nadu
Courtallam,"Main Falls, Old Falls",2,3500–6000,"Nature, Waterfall",Tamil Nadu
Dhanushkodi,"Ghost Town, Arichal Munai",1,3000–5000,"Beach, Scenic",Tamil Nadu
Pondicherry,"Auroville, Promenade Beach",2,5000–8000,"French Town, Coastal",Tamil Nadu
Namakkal,"Anjaneya Temple, Namakkal Fort",1,3000–5000,"Religious, Historical",Tamil Nadu
Visakhapatnam,"RK Beach, Kailasagiri, Submarine Museum",2–3,5000–8000,"Coastal, Urban",Andhra Pradesh
Araku Valley,"Borra Caves, Padmapuram Gardens",2,4000–7000,"Hill Station, Nature",Andhra Pradesh
